m,seed,elabel,e,kappa_raw,A0max,overdet_resid,O1O2_cond,L6overL4
0.08,11,m/3,0.026667,-36.28567586,2.872e-08,1.250e-07,4.1175,0.05531
0.08,11,m/4,0.020000,-36.45127961,3.041e-09,4.017e-08,4.1175,0.03281
0.08,11,m/6,0.013333,-36.51672285,1.236e-10,8.008e-09,4.1175,0.01518
0.08,23,m/3,0.026667,-36.20922083,2.864e-08,1.283e-07,4.1175,0.05515
0.08,23,m/4,0.020000,-36.37462843,3.030e-09,3.753e-08,4.1175,0.03271
0.08,23,m/6,0.013333,-36.43995783,1.231e-10,7.132e-09,4.1175,0.01512
0.08,47,m/3,0.026667,-36.26804495,2.866e-08,2.215e-08,4.1175,0.05525
0.08,47,m/4,0.020000,-36.43354261,3.033e-09,5.623e-09,4.1175,0.03277
0.08,47,m/6,0.013333,-36.49890679,1.232e-10,1.086e-09,4.1175,0.01515
0.12,11,m/3,0.040000,-7.15964798,2.872e-08,4.555e-08,4.1175,0.05531
0.12,11,m/4,0.030000,-7.19235987,3.041e-09,1.693e-08,4.1175,0.03281
0.12,11,m/6,0.020000,-7.20528694,1.236e-10,3.590e-09,4.1175,0.01517
0.12,23,m/3,0.040000,-7.15839965,2.864e-08,1.369e-07,4.1175,0.05517
0.12,23,m/4,0.030000,-7.19107296,3.030e-09,4.049e-08,4.1175,0.03272
0.12,23,m/6,0.020000,-7.20397765,1.231e-10,7.738e-09,4.1175,0.01513
0.12,47,m/3,0.040000,-7.17408052,2.866e-08,7.646e-08,4.1175,0.05518
0.12,47,m/4,0.030000,-7.20677146,3.033e-09,2.259e-08,4.1175,0.03273
0.12,47,m/6,0.020000,-7.21968296,1.232e-10,4.334e-09,4.1175,0.01514
0.15,11,m/3,0.050000,-2.93215466,2.872e-08,3.065e-08,4.1175,0.05529
0.15,11,m/4,0.037500,-2.94555347,3.041e-09,1.273e-08,4.1175,0.03280
0.15,11,m/6,0.025000,-2.95084840,1.236e-10,2.796e-09,4.1175,0.01517
0.15,23,m/3,0.050000,-2.93280707,2.864e-08,1.196e-07,4.1175,0.05519
0.15,23,m/4,0.037500,-2.94619022,3.030e-09,3.513e-08,4.1175,0.03273
0.15,23,m/6,0.025000,-2.95147604,1.231e-10,6.693e-09,4.1175,0.01514
0.15,47,m/3,0.050000,-2.93818482,2.866e-08,7.525e-08,4.1175,0.05518
0.15,47,m/4,0.037500,-2.95157508,3.033e-09,2.221e-08,4.1175,0.03273
0.15,47,m/6,0.025000,-2.95686365,1.232e-10,4.260e-09,4.1175,0.01514
0.2,11,m/3,0.066667,-0.92777742,2.872e-08,2.316e-08,4.1175,0.05527
0.2,11,m/4,0.050000,-0.93201689,3.041e-09,9.412e-09,4.1175,0.03279
0.2,11,m/6,0.033333,-0.93369223,1.236e-10,2.084e-09,4.1175,0.01516
0.2,23,m/3,0.066667,-0.92797580,2.864e-08,8.487e-08,4.1175,0.05522
0.2,23,m/4,0.050000,-0.93221046,3.030e-09,2.422e-08,4.1175,0.03275
0.2,23,m/6,0.033333,-0.93388299,1.231e-10,4.551e-09,4.1175,0.01514
0.2,47,m/3,0.066667,-0.92897006,2.866e-08,6.069e-08,4.1175,0.05521
0.2,47,m/4,0.050000,-0.93320687,3.033e-09,1.783e-08,4.1175,0.03275
0.2,47,m/6,0.033333,-0.93488023,1.232e-10,3.426e-09,4.1175,0.01514
0.3,11,m/3,0.100000,-0.18292418,2.872e-08,1.481e-08,4.1175,0.05540
0.3,11,m/4,0.075000,-0.18376148,3.041e-09,4.126e-09,4.1175,0.03286
0.3,11,m/6,0.050000,-0.18409236,1.236e-10,9.070e-10,4.1175,0.01520
0.3,23,m/3,0.100000,-0.18292697,2.864e-08,4.385e-08,4.1175,0.05541
0.3,23,m/4,0.075000,-0.18376346,3.030e-09,1.101e-08,4.1175,0.03286
0.3,23,m/6,0.050000,-0.18409385,1.231e-10,1.922e-09,4.1175,0.01520
0.3,47,m/3,0.100000,-0.18296744,2.866e-08,3.573e-08,4.1175,0.05540
0.3,47,m/4,0.075000,-0.18380429,3.033e-09,1.031e-08,4.1175,0.03286
0.3,47,m/6,0.050000,-0.18413481,1.232e-10,2.002e-09,4.1175,0.01519
